mount_id,Year,week,max_temp,min_temp,rain
71032,2014,1,13.3625,5.15,0.2
71032,2014,2,15.528571428571428,3.971428571428571,0.19999999999999998
71032,2014,3,24.37142857142857,11.6,1.0857142857142856
71032,2014,4,15.685714285714285,5.071428571428571,12.885714285714286
71032,2014,5,22.271428571428572,11.771428571428572,0.34285714285714286
71032,2014,6,19.2,7.471428571428571,1.2857142857142858
71032,2014,7,18.442857142857143,10.085714285714285,4.371428571428571
71032,2014,8,14.87142857142857,3.6714285714285717,0.7999999999999999
71032,2014,9,14.828571428571427,6.6571428571428575,5.428571428571429
71032,2014,10,15.585714285714287,6.628571428571429,5.771428571428571
71032,2014,11,13.37142857142857,6.3428571428571425,3.971428571428571
71032,2014,12,11.642857142857142,3.957142857142857,4.485714285714286
71032,2014,13,11.116666666666667,6.0,8.033333333333333
71032,2014,14,12.083333333333334,5.483333333333333,7.8
71032,2014,15,9.314285714285715,3.9285714285714284,10.37142857142857
71032,2015,1,19.55,9.075,0.45
71032,2015,2,17.0,9.671428571428573,11.142857142857142
71032,2015,3,13.385714285714286,5.457142857142857,8.8
71032,2015,4,16.214285714285715,7.671428571428572,6.742857142857142
71032,2015,5,9.257142857142856,1.2714285714285716,2.1714285714285713
71032,2015,6,16.042857142857144,4.057142857142857,0.14285714285714285
71032,2015,7,15.900000000000002,8.114285714285716,6.0857142857142845
71032,2015,8,18.24285714285714,8.742857142857144,1.2
71032,2015,9,15.114285714285716,8.042857142857143,3.314285714285714
71032,2015,10,13.883333333333333,4.333333333333333,0.3
71032,2015,11,12.942857142857141,3.957142857142857,0.1142857142857143
71032,2015,12,14.314285714285715,4.5,0.7999999999999999
71032,2015,13,9.571428571428571,1.6285714285714283,2.628571428571429
71032,2015,14,12.37142857142857,3.2714285714285714,0.19999999999999998
71032,2015,15,7.242857142857143,0.8142857142857143,5.8
71032,2016,1,13.557142857142859,5.142857142857143,15.085714285714285
71032,2016,2,16.928571428571427,6.971428571428571,7.057142857142857
71032,2016,3,17.228571428571428,9.614285714285714,3.8285714285714287
71032,2016,4,14.471428571428572,7.085714285714286,9.0
71032,2016,5,14.757142857142858,4.557142857142857,3.7714285714285714
71032,2016,6,18.242857142857144,8.72857142857143,0.0
71032,2016,7,14.614285714285714,4.771428571428572,0.0
71032,2016,8,18.900000000000002,10.200000000000001,0.17142857142857143
71032,2016,9,20.357142857142858,9.685714285714285,0.028571428571428574
71032,2016,10,19.314285714285713,9.957142857142857,3.5142857142857147
71032,2016,11,11.533333333333333,4.533333333333333,8.433333333333334
71032,2016,12,11.442857142857141,3.4,0.7142857142857143
71032,2016,13,10.771428571428572,3.6714285714285713,1.657142857142857
71032,2016,14,11.242857142857144,3.0285714285714285,1.0857142857142856
71032,2016,15,10.885714285714286,3.9857142857142853,2.2
71032,2017,1,17.928571428571427,7.3999999999999995,0.4857142857142857
71032,2017,2,18.12857142857143,10.12857142857143,13.742857142857144
71032,2017,3,18.62857142857143,8.314285714285715,6.114285714285714
71032,2017,4,18.857142857142858,9.457142857142857,0.42857142857142855
71032,2017,5,17.9,10.242857142857144,0.37142857142857144
71032,2017,6,19.4,12.28,2.52
71032,2017,7,13.171428571428573,5.014285714285714,2.314285714285714
71032,2017,8,13.985714285714286,4.785714285714286,1.1714285714285713
71032,2017,9,15.6,6.771428571428571,6.085714285714286
71032,2017,10,14.4,3.3428571428571425,0.08571428571428573
71032,2017,11,15.299999999999999,6.433333333333334,0.9
71032,2017,12,14.057142857142859,7.985714285714286,8.514285714285714
71032,2017,13,12.171428571428573,3.8714285714285714,3.5714285714285716
71032,2017,14,8.628571428571428,1.1857142857142857,3.5714285714285716
71032,2017,15,8.028571428571428,0.14285714285714288,5.828571428571428
71032,2018,1,18.575,8.3875,0.0
71032,2018,2,14.557142857142859,7.857142857142857,14.314285714285715
71032,2018,3,19.285714285714285,6.1000000000000005,0.6
71032,2018,4,20.342857142857145,12.028571428571428,2.4
71032,2018,5,14.014285714285714,4.671428571428572,4.857142857142857
71032,2018,6,18.457142857142856,9.085714285714285,0.7714285714285715
71032,2018,7,15.87142857142857,5.871428571428572,0.0
71032,2018,8,14.457142857142857,7.357142857142857,6.2
71032,2018,9,16.185714285714287,4.742857142857143,1.342857142857143
71032,2018,10,16.4,4.0285714285714285,0.17142857142857146
71032,2018,11,14.87142857142857,5.7,0.1142857142857143
71032,2018,12,10.328571428571427,3.642857142857143,8.228571428571428
71032,2018,13,13.528571428571428,3.1714285714285717,6.885714285714286
71032,2018,14,14.700000000000001,5.228571428571429,0.0
71032,2018,15,12.099999999999998,6.542857142857144,4.628571428571429
71032,2019,1,20.8625,11.7125,0.35000000000000003
71032,2019,2,18.385714285714283,8.757142857142856,3.0285714285714285
71032,2019,3,23.957142857142856,12.37142857142857,1.342857142857143
71032,2019,4,22.885714285714283,12.428571428571429,0.6285714285714287
71032,2019,5,18.32857142857143,9.828571428571427,3.257142857142857
71032,2019,6,14.914285714285715,8.128571428571428,12.685714285714285
71032,2019,7,14.471428571428572,5.028571428571429,0.9428571428571428
71032,2019,8,16.299999999999997,4.55,0.0
71032,2019,9,19.485714285714288,8.142857142857142,0.6857142857142858
71032,2019,10,13.942857142857141,6.257142857142857,3.657142857142857
71032,2019,11,12.457142857142857,4.5285714285714285,1.4000000000000001
71032,2019,12,14.671428571428573,7.3,6.371428571428572
71032,2019,14,11.014285714285714,3.6714285714285717,0.8
71032,2019,15,9.385714285714286,0.8,0.31428571428571433
71032,2020,1,22.36,11.780000000000001,0.2
